"PID","lebe_cont","cand_rightwing","cand_change_R","cand_exp","cand_change","cand_econ","cand_cult","mob","soccon","lonely","selfplacement","mob_1R","mob_2","mob_3R","mob_4","mob_5","mob_6","mob_7R","mob_8R","soccon_1","soccon_2","soccon_3","soccon_4R","soccon_5","lonely_1","lonely_2","lonely_3","lebecool_self","lebecool_white","lebecool_black","lebecool_asian","lebecool_latino","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","att_1","att_2","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"DY239rb",33,4.5,5,4,3,5,4,4,3.4,3,2.5,5,4,4,4,3,3,3,6,3,5,4,2,3,1,1,1,74,91,67,74,67,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,25,"man","Asian","MA","$120,001-$140,000",7,5,0,1,0,0,1,NA
"FG697ko",70,1.5,5,5,3,2,1,5.625,5.2,3,2,6,5,6,6,5,5,6,6,6,6,4,5,5,1,1,1,37,76,31,34,27,2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,1,38,"man","White","2yearColl","$20,001-$40,000",2,3,1,1,0,1,0,NA
"PT918gw",23,6.5,3,2,5,6,7,3.625,1.8,4,3,5,2,5,5,5,2,3,2,2,1,1,3,2,2,1,1,40,80,31,60,28,7,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,1,74,"woman","White","GED","$40,001-$60,000",3,2,1,0,1,0,0,"Thank you"
"DK073go",25,1.5,2,6,6,2,1,2,6,3,5,2,2,2,2,2,2,2,2,7,6,6,6,5,1,1,1,30,100,40,50,40,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,42,"man","Asian","2yearColl","$20,001-$40,000",2,3,0,1,0,0,1,NA
"CE780gb",40,1,7,3,1,1,1,5.25,3,3,2,5,5,5,6,5,5,6,5,3,3,3,3,3,1,1,1,68,70,32,44,38,1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,1,26,"man","White","GED","$80,001-$100,000",5,2,1,1,0,1,0,NA
"IQ939bi",5,7,1,2,7,7,7,6,1.2,3,3,6,6,6,6,6,6,6,6,1,1,1,1,2,1,1,1,20,20,20,20,20,6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,1,51,"man","White","4yearColl","$80,001-$100,000",5,4,1,1,1,0,0,NA
"VY000lx",77,5,6,2,2,5,5,3.125,5.8,7,5,4,2,4,2,3,2,4,4,6,7,6,4,6,2,2,3,4,21,64,51,59,5,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,1,44,"man","White","2yearColl","$0-$20,000",1,3,1,1,0,0,1,NA
"UV330ax",66,1.5,3,6,5,2,1,3.125,5.2,8,4,2,3,3,4,4,3,3,3,5,6,6,4,5,3,2,3,35,84,37,50,11,2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,1,34,"woman","Black or African American","4yearColl","$20,001-$40,000",2,4,0,0,0,1,0,NA
"VO555vu",8,4,5,3,3,6,2,5.25,1.6,3,1.5,6,6,1,6,6,6,6,5,2,1,1,2,2,1,1,1,85,85,55,80,40,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,30,"man","White","4yearColl","Over $200,000",11,4,1,1,0,0,1,NA
"GJ029sn",9,4.5,4,1,4,5,4,5.75,3.2,4,1,6,5,6,6,6,6,6,5,4,2,3,3,4,2,1,1,70,65,58,62,50,4,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,1,54,"woman","White","GED",NA,NA,2,1,0,1,0,0,NA
"RU379fk",35,4,3,5,5,4,4,4,4.2,6,1.5,5,4,3,4,5,3,4,4,5,4,5,2,5,2,2,2,70,70,50,60,55,4,"No preference",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,1,28,"man","White","4yearColl","$140,001-$160,000",8,4,1,1,0,0,0,NA
"EM719ho",48,4,4,3,4,4,4,5.75,3.8,3,3,6,5,6,6,5,6,6,6,2,2,6,3,6,1,1,1,63,82,32,73,42,4,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,1,47,"woman","White","2yearColl","$100,001-$120,000",6,3,1,0,1,0,0,"none"
"LG801qn",100,2.5,5,4,3,3,2,1.5,5.8,8,5,2,1,2,2,1,1,1,2,6,6,7,4,6,2,3,3,20,80,51,56,39,3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,53,"man","White","GED","$20,001-$40,000",2,2,1,1,0,0,1,NA
"LO280go",94,1.5,5,4,3,1,2,2,1.6,3,2,3,1,4,1,1,1,3,2,1,1,1,4,1,1,1,1,34,65,26,28,30,3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,64,"woman","White","2yearColl","$20,001-$40,000",2,3,1,0,0,0,1,NA
"LT754wf",75,3.5,3,5,5,3,4,4.5,4.4,6,3,5,4,5,4,4,4,5,5,5,5,5,3,4,2,2,2,45,97,39,48,40,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,32,"woman","White","GED","$60,001-$80,000",4,2,1,0,0,0,1,NA
"AY468dn",40,5,5,4,3,4,6,5,3,5,2,6,5,3,4,6,4,6,6,3,2,3,3,4,1,2,2,55,53,40,60,45,5,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,29,"man","White","4yearColl",NA,NA,4,1,1,0,0,1,NA
"NR719fq",71,1,6,5,2,1,1,5.125,2.4,6,3,6,4,6,4,4,5,6,6,2,2,3,3,2,2,2,2,48,56,42,54,43,2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,1,38,"woman","White","4yearColl","$80,001-$100,000",5,4,1,0,0,1,0,NA
"WO222zn",100,3.5,3,7,5,3,4,4.375,7,9,4,4,5,4,5,5,4,4,4,7,7,7,7,7,3,3,3,21,57,30,16,27,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,36,"man","White","noHS","$0-$20,000",1,1,1,1,0,0,1,NA
"PN675ov",0,7,4,4,4,7,7,6,4.6,4,3,6,6,6,6,6,6,6,6,5,5,5,3,5,1,1,2,55,72,48,68,44,7,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,1,37,"man","White","GED","$60,001-$80,000",4,2,1,1,1,0,0,"Have a great day!"
"YG410ig",62,4,7,7,1,7,1,3.625,4.8,6,3,1,5,3,6,4,5,2,3,6,5,5,3,5,2,2,2,48,88,24,72,39,2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,1,31,"woman","White","4yearColl","$40,001-$60,000",3,4,1,0,0,1,0,NA
"CZ152yc",17,5,3,6,5,5,5,4.25,2.4,3,2,3,3,5,5,5,5,5,3,2,3,2,3,2,1,1,1,80,90,29,47,8,4,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,1,37,"man","White","MA","$160,001-$180,000",9,5,1,1,0,0,1,"great study"
"DG372qb",18,1,6,4,2,1,1,2,2.6,7,3,2,2,2,2,2,2,2,2,2,3,3,3,2,3,1,3,43,70,35,60,39,2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,1,50,"woman","White","4yearColl","$60,001-$80,000",4,4,1,0,0,1,0,NA
"EX215za",55,1,2,5,6,1,1,4.75,3,4,4,4,5,5,5,5,4,5,5,3,3,3,3,3,1,2,1,50,100,50,60,50,1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,1,32,"woman","American Indian or Alaska Native","GED","$40,001-$60,000",3,2,0,0,0,1,0,NA
"AI309ub",8,6.5,3,2,5,6,7,6.125,1.8,4,3,6,6,6,6,6,6,6,7,2,2,2,2,1,2,1,1,50,68,40,56,44,6,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,1,40,"man","Hispanic, Latino, or Spanish origin","GED","$40,001-$60,000",3,2,0,1,1,0,0,NA
"WP927hq",77,1,7,3,1,1,1,2.375,6.2,5,4.5,3,2,2,1,2,4,2,3,5,6,7,7,6,1,2,2,0,100,0,80,43,4,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,1,42,"woman","Black or African American","4yearColl","$80,001-$100,000",5,4,0,0,0,1,0,NA
"DR284ih",62,3.5,3,2,5,3,4,2.5,5.4,9,3,3,2,3,2,2,2,3,3,6,6,5,5,5,3,3,3,59,79,30,68,42,5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,1,34,"woman","White","GED","$40,001-$60,000",3,2,1,0,1,0,0,NA
"EP685du",8,6,2,3,6,7,5,5,2,6,1,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,87,54,36,64,43,5,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,1,44,"man","White","4yearColl","$80,001-$100,000",5,4,1,1,0,0,1,NA
"SX914ja",35,5.5,2,3,6,7,4,5.375,2.4,3,2,5,5,6,6,5,5,6,5,2,2,2,3,3,1,1,1,75,81,61,73,45,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,50,"woman","Asian","4yearColl","$160,001-$180,000",9,4,0,0,0,0,1,"No further comments, thanks."
"QW797wf",64,2.5,3,4,5,3,2,3,4.6,7,5,3,3,3,3,3,3,3,3,5,5,5,5,3,2,3,2,4,38,36,57,38,3,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,1,43,"woman","White","GED","$40,001-$60,000",3,2,1,0,1,0,0,NA
"YP902rf",30,2,5,4,3,2,2,3.375,1,3,5,5,2,6,2,2,2,4,4,1,1,1,1,1,1,1,1,30,51,40,45,45,3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,61,"man","White","GED","$20,001-$40,000",2,2,1,1,0,0,1,NA
"CS773mm",16,1,4,4,4,1,1,5.875,3.6,6,5,7,5,7,6,5,6,5,6,3,5,2,5,3,2,2,2,55,96,72,80,66,1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,1,34,"woman","White","GED","$0-$20,000",1,2,1,0,0,1,0,NA
"WU998ts",33,1,4,2,4,1,1,4.375,4.6,5,3,5,2,5,4,4,5,5,5,5,4,5,4,5,1,2,2,57,86,31,85,26,2,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,37,"woman","White","MA","$120,001-$140,000",7,5,1,0,0,0,1,NA
"PR625fy",60,4.5,2,5,6,4,5,4.625,3.8,4,4,5,4,6,4,3,5,5,5,4,3,5,2,5,1,2,1,40,58,48,70,33,6,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,71,"woman","White","GED","$20,001-$40,000",2,2,1,0,0,0,1,NA
"IB089wu",70,5,2,4,6,3,7,5.25,3.2,6,5,2,1,7,6,6,6,7,7,3,3,3,2,5,2,2,2,32,75,75,91,62,7,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,1,38,"man","White","GED","$20,001-$40,000",2,2,1,1,1,0,0,NA
"HV428bz",75,5,2,2,6,6,4,4.375,5.8,7,5,4,4,5,4,4,4,5,5,7,6,6,4,6,3,1,3,50,75,70,73,60,4,"No preference",NA,NA,"Neither","Independent | Neither",1,1,1,53,"man","White","4yearColl","$60,001-$80,000",4,4,1,1,0,0,0,NA
"XS788os",46,5.5,1,6,7,5,6,5,2.4,5,4,5,5,5,5,5,5,5,5,2,3,3,2,2,1,2,2,21,76,45,34,18,5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,1,21,"woman","White","GED","$80,001-$100,000",5,2,1,0,1,0,0,NA
"VU515ds",60,2.5,4,6,4,3,2,5.625,5.2,7,2.5,6,6,6,6,6,5,6,4,6,6,5,3,6,2,2,3,60,90,20,60,30,2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,1,36,"woman","Asian","4yearColl","$40,001-$60,000",3,4,0,0,0,1,0,NA
"VC782yc",28,2,6,4,2,2,2,4.875,3.6,7,3.5,4,5,5,5,5,5,5,5,5,4,2,3,4,2,2,3,38,88,38,43,36,2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,1,27,"woman","Black or African American","4yearColl","$40,001-$60,000",3,4,0,0,0,1,0,NA
"KN441ir",30,4,3,4,5,4,4,4.875,3,5,1,5,5,4,5,5,5,5,5,3,3,3,3,3,2,1,2,60,59,51,51,48,4,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,1,42,"woman","White","2yearColl","$120,001-$140,000",7,3,1,0,1,0,0,NA
"BM420ec",81,3.5,1,4,7,4,3,7,6.4,8,3,7,7,7,7,7,7,7,7,6,7,6,6,7,3,2,3,22,26,19,24,20,3,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,54,"man","White","GED","$20,001-$40,000",2,2,1,1,0,0,1,NA
"QT890rt",6,6.5,2,1,6,6,7,4,1.8,3,5,4,4,4,4,4,4,4,4,2,1,3,2,1,1,1,1,1,30,27,42,36,4,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,1,60,"man","White","GED","$60,001-$80,000",4,2,1,1,1,0,0,NA
"QC522ca",8,6.5,4,4,4,6,7,6.875,1,3,3,7,7,7,7,7,6,7,7,1,1,1,1,1,1,1,1,60,65,57,65,57,6,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,1,28,"woman","White","2yearColl","$60,001-$80,000",4,3,1,0,1,0,0,NA
"IU754km",91,1,5,5,3,1,1,2.5,5.6,8,5,3,2,3,2,2,2,3,3,5,5,6,6,6,2,3,3,20,70,25,60,30,1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,1,33,"man","White","GED","$0-$20,000",1,2,1,1,0,1,0,NA
"MJ192ff",50,6,4,4,4,5,7,4.375,2.4,3,5,5,5,4,5,5,4,4,3,4,2,2,2,2,1,1,1,10,20,40,15,15,7,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,1,59,"woman","White","2yearColl","$20,001-$40,000",2,3,1,0,1,0,0,NA
"XC618mk",2,2,5,2,3,2,2,5.75,1.8,6,2,6,5,7,5,6,5,6,6,2,1,1,2,3,2,2,2,74,90,63,68,56,2,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,59,"man","White","4yearColl","$60,001-$80,000",4,4,1,1,0,0,1,NA
"JO402ue",45,5.5,7,4,1,6,5,5.875,4.8,5,3,6,5,6,6,6,5,6,7,5,4,5,5,5,1,2,2,62,87,14,68,20,4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,31,"woman","Asian","MA","$80,001-$100,000",5,5,0,0,0,0,1,NA
"JQ745dp",80,2,2,4,6,3,1,4.375,5,4,2.5,5,4,4,4,4,4,5,5,5,4,4,5,7,1,2,1,20,90,20,0,0,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,41,"man","White","GED","$40,001-$60,000",3,2,1,1,0,0,1,NA
"PQ460ce",81,1,7,3,1,1,1,3.5,6.4,9,3,2,2,5,5,5,3,3,3,6,6,7,6,7,3,3,3,55,70,31,60,20,1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,1,30,NA,"White","GED","$20,001-$40,000",2,2,1,NA,0,1,0,NA
"ZM406wl",0,6.5,4,4,4,7,6,7,1,3,3,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,50,50,50,50,50,6,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,1,44,"man","White","MA","Over $200,000",11,5,1,1,1,0,0,NA
"KT336qx",60,1,5,6,3,1,1,3.875,4.2,6,3.5,2,3,5,5,3,5,6,2,6,6,3,3,3,2,2,2,45,75,30,60,45,2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,1,32,"woman","White","2yearColl","$40,001-$60,000",3,3,1,0,0,1,0,NA
"GX175ss",5,2.5,6,2,2,3,2,2.625,2.2,3,2.5,3,2,4,2,2,2,3,3,2,3,2,2,2,1,1,1,70,95,60,70,65,2,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,54,"man","Asian","2yearColl","Over $200,000",11,3,0,1,0,0,1,NA
"WJ340qg",2,4,4,5,4,1,7,5.625,1,3,2,6,5,5,5,7,6,6,5,1,1,1,1,1,1,1,1,91,99,80,87,84,7,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,1,50,"woman","White","GED","$100,001-$120,000",6,2,1,0,1,0,0,NA
"VD765op",0,6.5,5,4,3,6,7,6.375,1.2,4,1,6,6,6,6,6,7,7,7,1,1,1,2,1,2,1,1,80,0,60,70,59,6,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,1,55,"woman","White","4yearColl","Over $200,000",11,4,1,0,1,0,0,NA
"BJ665ig",7,7,1,3,7,7,7,6,2,3,3,6,6,6,6,6,6,6,6,2,2,2,2,2,1,1,1,60,80,42,71,50,7,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,1,55,"man","White","GED","$80,001-$100,000",5,2,1,1,1,0,0,NA
"KY241rc",70,5,3,4,5,5,5,3,4.6,7,5,4,2,4,2,3,3,3,3,6,4,5,3,5,3,2,2,20,65,55,55,40,5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,1,38,"man","multiracial","2yearColl",NA,NA,3,0,1,1,0,0,NA
"MG035ww",100,1,6,5,2,1,1,2.5,6.6,9,4,4,1,4,2,2,2,3,2,7,7,7,6,6,3,3,3,26,80,29,82,18,1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,1,31,"woman","White","GED","$60,001-$80,000",4,2,1,0,0,1,0,"Good luck with your research"
"AX932af",43,2,5,5,3,2,2,2.5,6.2,5,2,4,2,2,3,2,2,3,2,6,7,7,4,7,1,2,2,49,80,18,40,18,2,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,41,"woman","White","4yearColl","$40,001-$60,000",3,4,1,0,0,0,1,NA
"RT395mr",58,2.5,5,4,3,3,2,5,3.4,6,3,5,5,5,5,5,5,5,5,3,3,3,3,5,2,2,2,48,62,43,55,30,4,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,1,38,"woman","multiracial","4yearColl","$100,001-$120,000",6,4,0,0,1,0,0,NA
"IP725ms",82,1.5,4,4,4,1,2,5,5.6,8,2,5,5,5,5,5,5,5,5,6,6,6,4,6,3,2,3,83,91,5,15,7,2,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,40,"man","White","GED","$0-$20,000",1,2,1,1,0,0,1,NA
"KC838pf",30,3.5,3,5,5,5,2,5.5,2,6,2,6,5,6,5,5,5,6,6,2,2,2,2,2,2,2,2,85,90,60,70,51,3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,1,25,"woman","White","4yearColl","$60,001-$80,000",4,4,1,0,0,1,0,NA
"RM040xj",73,2,3,3,5,2,2,3.625,4.6,6,4,5,2,6,3,2,4,5,2,6,5,5,2,5,2,2,2,46,70,45,65,60,2,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,54,"man","White","4yearColl","$20,001-$40,000",2,4,1,1,0,0,1,NA
"GX594vm",22,2,4,6,4,2,2,4.875,2.8,5,2,6,5,5,5,3,5,5,5,3,2,3,3,3,2,1,2,73,93,46,70,30,2,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,22,"woman","White","4yearColl","Over $200,000",11,4,1,0,0,0,1,NA
"QT804cm",25,6.5,4,5,4,6,7,6.75,1.4,4,1,7,7,7,7,6,6,7,7,1,2,1,2,1,2,1,1,76,68,59,67,63,6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,1,50,"man","White","4yearColl","$80,001-$100,000",5,4,1,1,1,0,0,NA
"WV446xa",20,2.5,2,6,6,3,2,5.25,1.4,3,1.5,6,5,6,2,5,6,6,6,1,1,2,2,1,1,1,1,80,80,60,70,50,3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,46,"man","White","4yearColl","$140,001-$160,000",8,4,1,1,0,0,1,NA
"SR544xv",19,5.5,5,2,3,4,7,6.875,2.2,3,4,7,7,7,7,7,6,7,7,1,1,3,2,4,1,1,1,46,49,52,47,18,5,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,1,54,"woman","White","2yearColl","$80,001-$100,000",5,3,1,0,1,0,0,NA
"NN619pv",0,6.5,3,3,5,7,6,6,2.6,3,5,6,6,6,6,6,6,6,6,3,2,2,3,3,1,1,1,2,3,4,5,6,6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,1,63,"man","White","4yearColl","$100,001-$120,000",6,4,1,1,1,0,0,NA
"PD182mt",0,5,1,6,7,3,7,5.5,1.2,3,3.5,5,6,5,6,6,6,5,5,1,1,1,2,1,1,1,1,80,95,75,85,80,6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,1,52,"woman","Black or African American","MA","$80,001-$100,000",5,5,0,0,1,0,0,NA
"JI284lm",100,1,7,2,1,1,1,2.625,5.6,9,5,3,1,5,2,3,3,2,2,5,6,6,5,6,3,3,3,1,75,25,50,24,2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,1,51,"man","White","4yearColl","$20,001-$40,000",2,4,1,1,0,1,0,NA
"EX858dq",27,5,6,2,2,5,5,5.25,7,6,5,7,1,5,5,5,5,7,7,7,7,7,7,7,2,2,2,40,60,50,70,50,5,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,1,32,"man","White","GED","$20,001-$40,000",2,2,1,1,1,0,0,NA
"FX822kj",100,1,7,1,1,1,1,3.75,6.2,7,3.5,4,3,4,4,4,4,4,3,7,7,7,6,4,3,1,3,0,100,0,0,0,1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,1,52,"man","White","GED","$0-$20,000",1,2,1,1,0,1,0,NA
"VA574qh",0,3.5,4,4,4,5,2,4.875,2.2,3,1,6,5,4,6,5,2,5,6,2,2,2,2,3,1,1,1,80,60,35,50,40,2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,1,30,"man","White","4yearColl","$100,001-$120,000",6,4,1,1,0,1,0,NA
"HA417sx",22,2,4,4,4,2,2,4.625,2,3,2,5,5,5,5,5,4,3,5,2,2,2,2,2,1,1,1,82,97,21,68,32,2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,1,73,"woman","White","MA","$40,001-$60,000",3,5,1,0,0,1,0,NA
"HF390dt",35,5,1,6,7,3,7,2.875,2,3,5,2,3,3,3,3,4,2,3,2,2,2,2,2,1,1,1,48,95,72,66,69,6,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,1,72,"woman","multiracial","GED","$40,001-$60,000",3,2,0,0,1,0,0,NA
"VT274zm",80,1,7,4,1,1,1,3.75,5.6,8,4,5,2,5,3,3,4,4,4,6,6,5,5,6,2,3,3,31,47,29,33,32,1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,1,51,"woman","White","4yearColl","$20,001-$40,000",2,4,1,0,0,1,0,NA
"LP179st",83,5.5,3,6,5,6,5,4.25,1.6,3,1.5,2,5,4,6,5,6,3,3,1,1,2,2,2,1,1,1,78,78,29,36,41,2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,1,27,"woman","White","4yearColl","$80,001-$100,000",5,4,1,0,0,1,0,"None"
"AH114zq",0,3.5,4,4,4,4,3,3.625,2,4,1,4,3,5,3,3,5,4,2,2,2,2,2,2,1,2,1,85,80,65,70,60,4,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,1,25,"woman","White","4yearColl","$0-$20,000",1,4,1,0,1,0,0,NA
"LR232pn",40,4,2,5,6,6,2,4.75,2.4,3,1,6,5,6,3,3,5,5,5,2,3,2,3,2,1,1,1,60,50,50,50,50,4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,42,"man","multiracial","2yearColl","$80,001-$100,000",5,3,0,1,0,0,1,"Nothing further"
"DE695tb",60,3,3,4,5,3,3,5,2.2,4,1,5,5,6,5,5,3,6,5,2,2,2,3,2,1,2,1,75,70,58,64,54,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,49,"man","Other (please specify)","PHD","Over $200,000",11,6,0,1,0,0,1,NA
"AW064kz",24,4.5,1,4,7,5,4,6.875,4.6,6,3,6,7,7,7,7,7,7,7,5,5,5,3,5,2,2,2,50,50,50,50,50,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,36,"woman","multiracial","PHD","$180,001-$200,000",10,6,0,0,0,0,1,"N/a"
"BV804kx",90,2.5,3,4,5,3,2,2.75,5.2,8,3,3,2,3,2,3,3,3,3,6,5,5,4,6,3,2,3,60,85,30,70,50,3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,41,"man","White","2yearColl","$60,001-$80,000",4,3,1,1,0,0,1,NA
"FJ293oy",82,1.5,5,4,3,2,1,4.875,3.6,6,4,6,3,7,5,3,5,5,5,4,3,3,3,5,3,1,2,36,73,38,62,32,2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,1,63,"woman","White","2yearColl","$40,001-$60,000",3,3,1,0,0,1,0,NA
"QI910hv",55,4,4,5,4,3,5,5.25,2,5,3.5,5,5,5,5,5,5,6,6,2,2,2,2,2,2,1,2,50,80,50,50,50,5,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,1,67,"man","White","GED","$20,001-$40,000",2,2,1,1,0,0,1,NA
"DB464qa",0,3,4,4,4,2,4,4.75,6,6,2,6,3,6,5,3,4,6,5,7,5,7,4,7,2,1,3,70,50,40,90,25,4,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,1,41,"woman","White","MA","$40,001-$60,000",3,5,1,0,0,1,0,NA
"AH386zq",100,1,6,5,2,1,1,2.875,7,9,5,2,3,4,3,3,4,3,1,7,7,7,7,7,3,3,3,0,72,38,70,25,1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,1,37,"woman","multiracial","GED","$0-$20,000",1,2,0,0,0,1,0,NA
"TD240gg",20,1,3,6,5,1,1,5.5,2.2,3,4.5,6,5,6,5,5,5,6,6,2,2,2,3,2,1,1,1,30,70,30,80,40,1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,1,44,"man","Black or African American","2yearColl","$20,001-$40,000",2,3,0,1,0,1,0,NA
"AT486qa",7,4,2,5,6,4,4,4.25,2.8,6,2,4,4,5,5,4,4,4,4,3,3,3,2,3,2,2,2,80,51,39,85,45,4,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,1,64,"woman","White","MA","$60,001-$80,000",4,5,1,0,0,1,0,NA
"BZ638xh",39,4,4,5,4,4,4,5.625,2.2,3,3,6,5,6,6,5,5,6,6,2,2,2,3,2,1,1,1,64,74,59,70,62,3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,42,"woman","White","4yearColl","$80,001-$100,000",5,4,1,0,0,0,1,"
"
"QY976nf",5,6,2,4,6,6,6,5.875,2.8,3,1,6,6,6,6,5,6,6,6,2,2,2,6,2,1,1,1,100,97,47,65,73,6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,1,50,"man","White","MA","Over $200,000",11,5,1,1,1,0,0,NA
"WZ955wu",15,6,2,1,6,5,7,4.875,2,5,2,5,5,5,4,5,5,5,5,2,2,2,2,2,2,2,1,82,88,24,49,15,6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,1,37,"woman","White","4yearColl","$80,001-$100,000",5,4,1,0,1,0,0,NA
"PQ904bn",100,1,4,3,4,1,1,2.125,6.8,9,5,2,2,3,1,2,2,2,3,7,7,7,6,7,3,3,3,5,73,39,57,23,1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,1,31,"woman","Hispanic, Latino, or Spanish origin","GED",NA,NA,2,0,0,0,1,0,NA
